GISJOIN,higher_level,med_inc,ba_prop,pov_prop
G0900010,NA,109268.2905966126,0.4735474220539429,0.08823589726984744
G0900030,NA,80190.26573228842,0.3775315449051002,0.11123271282081841
G0900050,NA,81884.65351905723,0.3507925670862028,0.06992543129895472
G0900070,NA,87694.5714778773,0.41523839989224864,0.06905173341435471
G0900090,NA,74848.40081597444,0.3490229117297584,0.11869370288812739
G0900110,NA,76858.70300869722,0.3333581268827602,0.10175482303847531
G0900130,NA,86120.83532909148,0.4115364556169813,0.06909034721762355
G0900150,NA,67041.4468728777,0.24145212076310427,0.10510181148019958
G0900010010101,Fairfield County,155375,0.6624373956594324,0.09109784583441474
G0900010010102,Fairfield County,250001,0.8160028198801551,0.044036697247706424
G0900010010201,Fairfield County,246667,0.7943396226415095,0.07860262008733625
G0900010010202,Fairfield County,188625,0.703218456280262,0.07009878419452888
G0900010010300,Fairfield County,234625,0.824625502374863,0.044926413632842756
G0900010010400,Fairfield County,113275,0.5420028476506882,0.055565024714504856
G0900010010500,Fairfield County,68796,0.40198339483394835,0.08799609629147691
G0900010010600,Fairfield County,99922,0.7131498470948012,0.08702213279678069
G0900010010700,Fairfield County,64722,0.5138730520714557,0.08482020312928905
G0900010010800,Fairfield County,134375,0.6879637262984336,0.039587852494577004
G0900010010900,Fairfield County,146339,0.6301173776123676,0.04524886877828054
G0900010011000,Fairfield County,244500,0.7924416888101565,0.04397847467062535
G0900010011100,Fairfield County,250001,0.827106227106227,0.059161147902869755
G0900010011200,Fairfield County,215250,0.7528384279475983,0.06128830519074421
G0900010011300,Fairfield County,90532,0.3711843711843712,0.08353510895883777
G0900010020100,Fairfield County,52451,0.5674898105969791,0.1472233320015981
G0900010020200,Fairfield County,250001,0.75889477668433,0.03711850426175419
G0900010020300,Fairfield County,207353,0.7695990424895273,0.015061096902529127
G0900010020400,Fairfield County,175932,0.6776364996260285,0.03229194014176949
G0900010020500,Fairfield County,184219,0.6327193932827736,0.018764022027330206
